word,code,s001,s002,s003,s004,s005,s006,s007,s008,s009,s010,s011,s012,s013,s014,s015,s016,s017,s018,s019,s020,s021,s022,s023,s024,s025,s026,s027,s028,s029,s030,s031,s032,s033,s034,s035,mean_rt
the,17104,311.78,,,,,,,,,242.11,166.31,,275.36,224.93,,219.04,194.91,324.96,269.89,335.14,399.95,,285.99,,,,,299.05,236.55,,,,282.77,198.92,314.22,269.52235294117600
7th,17105,343.18,,,,,,,,,252.27,107.31,,277.52,384.5,,231.97,197.12,375.05,285.4,347.89,329.93,,320.1,,,,,210.45,350.8,,,,276.89,161.23,292.29,279.05294117647100
U.S.,17106,350.62,,,,,,,,,257.18,179.07,,287.71,391.89,,239.49,239.41,379.74,255.5,419.27,190.72,,354.22,,,,,239.37,270.18,,,,295.07,171.55,281.13,282.47764705882400
Cavalry,17107,357.96,,,,,,,,,254.05,136.06,,292.48,343.18,,241.74,185.63,459.08,316.38,391.92,190.32,,364.28,,,,,377.63,285.73,,,,403.9,192.59,355.28,302.83588235294100
"Regiment,",17108,376.04,,,,,,,,,322.92,157.03,,313.34,390.61,,227.97,233.3,527.62,262.46,2159.18,925.95,,414.34,,,,,342.34,239.82,,,,445.87,232.22,357.27,466.36941176470600
"""The",17109,364.74,,,,,,,,,261.03,135.45,,531.39,349.95,,507.5,219.52,924.06,341.97,510.51,383.1,,394.92,,,,,397.67,274.07,,,,415.76,498.42,319.31,401.7276470588240
Fighting,17110,398.73,,,,,,,,,300.53,148.5,,431.87,517.28,,450.65,219.09,645.25,277.36,565.68,2542.44,,364.93,,,,,375.68,412.21,,,,452.35,462.92,393.44,526.9947058823530
"Seventh.""",17111,368.69,,,,,,,,,251.93,212.13,,359.08,263.06,,223.2,186.63,694.88,319.52,2487.35,375.82,,526.94,,,,,372.31,256.86,,,,904.91,222.13,347.43,492.5217647058820
Today,17112,335.47,,,,,,,,,245.52,152.73,,501.77,272.66,,240.98,295.28,468.25,297.2,389.41,758.66,,349.22,,,,,306.87,261.24,,,,404.1,423.93,340.51,355.5176470588240
a,17113,412.16,,,,,,,,,242.38,160.43,,276.88,264.12,,259.2,180.09,299.43,277.93,412.68,408.12,,292.57,,,,,218.34,228.77,,,,198.04,167.26,371.88,274.72235294117600
battle,17114,320.81,,,,,,,,,260.57,146.73,,263.05,239.62,,226.65,211.69,266.86,296.15,417.36,308.76,,297.44,,,,,1655.24,372.28,,,,328.38,588.26,760.57,409.43647058823500
cry,17115,346.88,,,,,,,,,236.08,354.49,,310.59,273.91,,250.23,216.64,346.35,300.94,381.94,340.2,,294.23,,,,,282.01,264.95,,,,421.12,195.23,338.04,303.16647058823500
may,17116,354.32,,,,,,,,,246.35,180.51,,278.01,236.01,,223.1,165.59,433.8,260.39,341.29,475.6,,259.04,,,,,428.18,304.47,,,,284.36,157.49,326.79,291.4882352941180
seem,17117,396.3,,,,,,,,,227.2,148.13,,256.19,270.29,,222.66,362.56,307.7,283.92,308.68,237.39,,231.91,,,,,627.38,343.92,,,,246.51,151.89,371.49,293.77176470588200
an,17118,366.31,,,,,,,,,258.79,299.83,,261.1,189.8,,206.27,204.61,299.16,294.06,332.1,207.66,,378.12,,,,,418.4,247.36,,,,243.39,167.57,280.16,273.805294117647
"anachronism,",17119,424.31,,,,,,,,,207.61,147.29,,268.6,245.43,,211.16,166.89,5730.53,274.87,1776.85,236.54,,1158.77,,,,,367.03,284.21,,,,293.58,164.55,226.33,716.7382352941180
for,17120,447.63,,,,,,,,,332.53,130.93,,604.09,927.63,,240.08,203.85,564.45,276.97,451.37,1198.76,,487.64,,,,,555.72,302.37,,,,418.42,150.91,1369.96,509.60647058823500
in,17121,284.19,,,,,,,,,289.25,136.0,,309.78,248.81,,250.31,438.1,686.17,263.14,375.98,375.55,,252.07,,,,,733.38,293.78,,,,327.03,342.57,309.11,347.9541176470590
the,17122,342.29,,,,,,,,,182.07,149.07,,341.21,293.63,,503.18,168.07,327.69,278.64,348.66,340.23,,240.98,,,,,1497.57,250.59,,,,275.76,181.94,652.5,374.94588235294100
modern,17123,317.69,,,,,,,,,253.7,156.73,,420.63,562.49,,206.38,181.06,260.49,296.84,364.06,467.67,,259.21,,,,,420.53,255.48,,,,253.93,157.58,384.76,307.01352941176500
"Army,",17124,359.78,,,,,,,,,266.57,151.1,,267.88,236.16,,272.66,148.67,275.95,269.65,590.08,298.85,,256.05,,,,,443.78,236.35,,,,306.77,207.98,312.1,288.2576470588240
esprit,17125,337.86,,,,,,,,,226.07,134.82,,307.4,302.45,,336.17,148.37,470.15,253.13,509.13,1199.59,,324.93,,,,,725.7,238.54,,,,298.25,316.86,306.18,378.56470588235300
de,17126,470.63,,,,,,,,,225.64,179.86,,298.85,629.88,,236.85,156.04,333.3,282.02,844.27,720.36,,495.03,,,,,335.23,288.81,,,,407.05,286.99,697.66,405.2041176470590
corps,17127,325.82,,,,,,,,,265.23,187.48,,903.6,476.79,,255.11,158.37,434.09,300.22,1325.54,689.88,,363.53,,,,,331.9,261.59,,,,411.63,299.78,549.88,443.555294117647
has,17128,314.57,,,,,,,,,240.79,163.12,,238.13,358.65,,235.95,152.75,451.97,307.63,486.14,270.09,,565.55,,,,,368.69,341.11,,,,376.29,248.61,340.96,321.235294117647
been,17129,324.64,,,,,,,,,290.94,341.45,,368.38,424.68,,206.22,163.11,384.51,523.1,514.65,333.56,,2257.94,,,,,261.35,260.51,,,,308.97,181.47,372.29,442.22176470588200
sacrificed,17130,334.73,,,,,,,,,263.76,212.81,,421.1,472.0,,376.48,149.43,951.91,260.87,788.41,1018.33,,587.74,,,,,428.88,260.05,,,,548.45,181.08,817.04,474.8864705882350
to,17131,323.48,,,,,,,,,279.28,217.79,,292.29,383.16,,205.18,141.14,318.32,380.4,483.12,390.04,,426.73,,,,,236.1,291.47,,,,315.47,188.74,332.99,306.2176470588240
organizational,17132,509.57,,,,,,,,,273.48,158.67,,593.17,326.53,,247.43,180.82,224.42,307.72,468.99,189.37,,394.02,,,,,350.38,248.34,,,,501.6,476.34,1545.72,411.56294117647100
charts,17133,372.69,,,,,,,,,307.62,185.01,,256.16,315.29,,268.3,396.42,768.03,363.18,796.2,509.02,,628.03,,,,,269.74,261.22,,,,316.73,278.19,319.28,388.8888235294120
and,17134,313.4,,,,,,,,,451.03,104.64,,452.99,389.41,,251.77,134.42,228.1,349.19,461.56,244.15,,314.98,,,,,261.25,260.72,,,,302.81,320.33,353.42,305.5394117647060
